URL,GameDate,HomeRecord,AwayRecord,HomeTeam,AwayTeam,HomeScore,AwayScore,WinningTeam,LosingTeam,Belong_Team,Player,Minute,FG,FGA,FG%,FG3,FG3A,FG3%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUMUS,Series
202404020UTA.html,2024-04-02,29-47,46-30,UTA,CLE,113,129,CLE,UTA,UTA,Luka Šamanić,18.7,3,6,.500,1,4,.250,5,7,.714,0,5,5,1,0,1,1,1,12,-8,2024CLEUTA
202404020UTA.html,2024-04-02,29-47,46-30,UTA,CLE,113,129,CLE,UTA,UTA,Kira Lewis Jr.,17.4,1,4,.250,0,3,.000,0,0,,0,0,0,2,1,0,1,2,2,-3,2024CLEUTA
202404020UTA.html,2024-04-02,29-47,46-30,UTA,CLE,113,129,CLE,UTA,UTA,Talen Horton-Tucker,12.6,5,7,.714,2,3,.667,0,0,,0,1,1,0,1,0,0,2,12,-9,2024CLEUTA
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Luka Dončić,39.2,11,22,.500,5,11,.455,3,4,.750,1,11,12,11,0,0,5,1,30,+9,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Kyrie Irving,38.8,10,19,.526,4,8,.500,3,3,1.000,0,1,1,2,3,1,4,3,27,+6,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,P.J. Washington,35.7,8,19,.421,3,10,.300,1,2,.500,0,5,5,0,3,1,2,1,20,-7,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Daniel Gafford,27.1,5,8,.625,0,0,,0,0,,3,5,8,3,1,0,1,5,10,0,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Derrick Jones Jr.,18.0,0,4,.000,0,1,.000,0,0,,1,2,3,1,0,2,1,1,0,-15,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Tim Hardaway Jr.,26.4,3,6,.500,1,4,.250,0,0,,0,3,3,3,0,0,0,0,7,-4,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Dante Exum,21.1,1,3,.333,1,2,.500,0,0,,1,2,3,4,0,0,2,2,3,+2,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Maxi Kleber,16.7,0,4,.000,0,1,.000,0,0,,1,2,3,2,1,3,0,1,0,+5,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Dwight Powell,8.6,0,0,,0,0,,0,2,.000,1,2,3,1,0,0,0,0,0,-8,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,DAL,Jaden Hardy,8.3,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,-8,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Andrew Wiggins,32.7,8,16,.500,3,5,.600,4,4,1.000,2,2,4,2,1,1,3,1,23,+3,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Stephen Curry,31.6,5,18,.278,3,5,.600,0,0,,0,7,7,7,1,2,4,1,13,-4,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Draymond Green,30.8,5,8,.625,0,1,.000,1,1,1.000,3,5,8,6,4,1,3,3,11,-4,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Klay Thompson,28.2,5,14,.357,2,8,.250,2,2,1.000,0,3,3,2,1,0,2,3,14,-4,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Trayce Jackson-Davis,21.0,2,3,.667,0,0,,0,0,,2,8,10,1,0,0,3,0,4,+3,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Brandin Podziemski,30.7,2,4,.500,1,1,1.000,0,0,,1,9,10,5,0,0,1,3,5,+17,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Moses Moody,20.2,4,8,.500,4,6,.667,0,0,,0,3,3,0,1,0,0,2,12,+3,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Chris Paul,19.6,6,11,.545,2,3,.667,0,0,,0,1,1,5,0,0,0,0,14,+8,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Gary Payton II,15.6,4,8,.500,0,3,.000,0,0,,1,1,2,0,1,0,0,4,8,-1,2024DALGSW
202404020GSW.html,2024-04-02,41-34,45-30,GSW,DAL,104,100,GSW,DAL,GSW,Kevon Looney,9.6,0,0,,0,0,,0,0,,2,2,4,1,0,0,1,1,0,-1,2024DALGSW
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,James Harden,31.1,1,7,.143,1,5,.200,3,4,.750,1,4,5,8,1,0,5,0,6,-13,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Paul George,29.4,5,12,.417,2,5,.400,6,6,1.000,1,3,4,1,2,0,1,1,18,-7,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Ivica Zubac,28.6,5,14,.357,0,0,,0,2,.000,4,7,11,3,1,1,0,3,10,-6,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Norman Powell,28.4,4,7,.571,3,4,.750,6,6,1.000,0,2,2,0,1,0,2,1,17,-3,2024LACSAC
